feature_dim,config,seed,epoch,train_loss,validation_auprc
64,mlp_4hidden,11,1,1.2494394042275168,0.12326801675253495
64,mlp_4hidden,11,2,1.24667588038878,0.15950750231914432
64,mlp_4hidden,11,3,1.2209976239637894,0.14654810315050537
64,mlp_4hidden,11,4,1.1976493683728304,0.1709177626707116
64,mlp_4hidden,11,5,1.1888803286985918,0.1626594907717904
64,mlp_4hidden,11,6,1.1613063530488448,0.1657868972561214
64,mlp_4hidden,11,7,1.1356599710204385,0.17127714596885274
64,mlp_4hidden,11,8,1.1398904952135953,0.18484043609447406
64,mlp_4hidden,11,9,1.1157235784964128,0.17184298524937744
64,mlp_4hidden,11,10,1.1220723325555975,0.17067107066150564
64,mlp_4hidden,11,11,1.0537592140111056,0.17977546307332098
64,mlp_4hidden,11,12,1.0299174525521018,0.17129708789874828
64,mlp_4hidden,11,13,1.0214892539111051,0.19142288996954843
64,mlp_4hidden,11,14,1.0347638368606566,0.18527706720692283
64,mlp_4hidden,11,15,1.004284501617605,0.1991099533379127
64,mlp_4hidden,11,16,0.9774075692350214,0.2028082170609836
64,mlp_4hidden,11,17,0.9485191106796265,0.19422079849503576
64,mlp_4hidden,11,18,0.9319386785680598,0.20188406976923207
64,mlp_4hidden,11,19,0.9473682658238844,0.20511353537104796
64,mlp_4hidden,11,20,0.9593858198686079,0.20571121530682318
64,mlp_4hidden,11,21,0.9225539250807329,0.21089549514814704
64,mlp_4hidden,11,22,0.8649256744168021,0.21395018161250845
64,mlp_4hidden,11,23,0.8743033598769795,0.21725423749208045
64,mlp_4hidden,11,24,0.8520745597102425,0.21303917491794294
64,mlp_4hidden,11,25,0.8433338062329726,0.2232275983352203
64,mlp_4hidden,11,26,0.8540967426516793,0.2170682339750902
64,mlp_4hidden,11,27,0.8134803858670321,0.21159801752707746
64,mlp_4hidden,11,28,0.7472934852946889,0.21687121088742367
64,mlp_4hidden,11,29,0.7912002444267273,0.21812236922341954
64,mlp_4hidden,11,30,0.8114243599501523,0.24105046367573393
64,mlp_4hidden,11,31,0.7678256739269603,0.22172449584321233
64,mlp_4hidden,11,32,0.748907036672939,0.27243982495075525
64,mlp_4hidden,11,33,0.7950038476423784,0.2318572951870465
64,mlp_4hidden,11,34,0.7161522561853583,0.20699873510688432
64,mlp_4hidden,11,35,0.7332133184779774,0.25203131211396546
64,mlp_4hidden,11,36,0.7532295926050706,0.27717698498904875
64,mlp_4hidden,11,37,0.7836593554778533,0.24149927519502798
64,mlp_4hidden,11,38,0.6987427248196169,0.2314667699169922
64,mlp_4hidden,11,39,0.6405949394811283,0.2168897957901368
64,mlp_4hidden,11,40,0.675732532414523,0.2180438302453255
