scope,feature_dim,config,n,positives,auroc,auprc,brier
validation_seed_ensemble,64,mlp_4hidden,221,24,0.714678510998308,0.32356941800570155,0.12941883804508578
test_seed_ensemble,64,mlp_4hidden,210,23,0.6661241571727505,0.27197185490709097,0.13255785525359934
validation_seed_ensemble,70,mlp_4hidden,221,24,0.7021996615905245,0.31724835899688203,0.1314428650718518
test_seed_ensemble,70,mlp_4hidden,210,23,0.6535689374564054,0.2751132286566984,0.13137557019739468
