subgroup,n_variants,n_genes,n_positives,prevalence,auroc_64,auroc_70,auprc_64,auprc_70,delta_auroc,delta_auprc,am_paired_n,warning
All variants,2179,871.0,236,0.10830656264341441,0.6421683226183519,0.6560360093163639,0.19809834685617844,0.24789672388654407,0.013867686698011972,0.04979837703036563,2140.0,
A: Swiss-Prot + subcellular,2065,819.0,230,0.11138014527845036,0.643729415945978,0.6558559412391897,0.2057007233150414,0.2540573836838099,0.012126525293211676,0.04835666036876851,2027.0,
"B: Swiss-Prot, no subcellular",110,51.0,6,0.05454545454545454,0.6057692307692307,0.6602564102564102,0.08062016128490172,0.12374108734402851,0.054487179487179516,0.04312092605912679,109.0,
C: TrEMBL / other,4,,0,0.0,,,,,,,,too few positives
A+B: Any Swiss-Prot,2175,870.0,236,0.10850574712643678,0.6426320574120855,0.6560956634994449,0.1984426845081454,0.24803456917576383,0.013463606087359414,0.049591884667618436,2136.0,
