scope,model,n,positives,auroc,auprc,precision_at_recall_0.20,precision_at_recall_0.40
full_oof,xgboost_64,2179,236,0.6421683226183519,0.19809834685617844,0.2660606634472746,0.18611863919799343
full_oof,wt_signal_70,2179,236,0.6560360093163639,0.24789672388654407,0.31368138324660055,0.21252367316637122
full_oof,xgboost_64_plus_delta_71,2179,236,0.6313188586581994,0.1949139209760743,0.27634888438133876,0.19691196938065417
full_oof,wt_signal_70_plus_delta_77,2179,236,0.6430668108900268,0.23023494357503999,0.3138874548270521,0.1999375446109921
paired_alphamissense,xgboost_64,2140,235,0.6442419165689395,0.1999253403648842,0.2655367231638418,0.1865079365079365
paired_alphamissense,wt_signal_70,2140,235,0.657930418272184,0.24987115942114455,0.31333333333333335,0.214123006833713
paired_alphamissense,xgboost_64_plus_delta_71,2140,235,0.6330217233484112,0.19656516547974923,0.27976190476190477,0.19665271966527198
paired_alphamissense,wt_signal_70_plus_delta_77,2140,235,0.6445591109621935,0.23210727966674943,0.31756756756756754,0.2025862068965517
