replicate,A_delta_auroc,A_delta_auprc,BC_delta_auroc,BC_delta_auprc,all_delta_auroc,all_delta_auprc,did_delta_auroc,did_delta_auprc
0,0.038829923273657196,0.04225137587168115,-0.0205920205920207,0.027193014785180714,0.03750132274613849,0.042319835191572036,0.059421943865677895,0.015058361086500438
1,0.032560376857749374,0.08416292619016652,0.09259259259259256,0.03876521395640736,0.03387009576768607,0.0864555555642797,-0.060032215734843186,0.04539771223375916
2,0.01827357387132078,0.0696385485164896,0.006578947368421018,0.001448103640527068,0.018541787656406794,0.06939897640248446,0.011694626502899763,0.06819044487596253
3,0.04362383143142479,0.07811040116004994,-0.06944444444444431,0.0011475279349338202,0.03960873150714872,0.0752969302692301,0.1130682758758691,0.07696287322511612
4,0.0053811334419698875,0.049757286377864474,0.010638297872340385,0.02291235869864902,0.0057912870030373265,0.05054326847980464,-0.005257164430370498,0.026844927679215452
5,-0.008271174278878135,0.027830272233971165,-0.057077625570776336,-0.03952165192306156,-0.005797841630767908,0.027753995676116,0.0488064512918982,0.06735192415703273
6,0.016235595390524882,0.04256047233853044,-0.037878787878787845,0.02410139661500374,0.015972445875827468,0.045154310871957204,0.05411438326931273,0.018459075723526702
7,-0.02153165332131679,0.029987012125380574,0.03996003996003994,0.011749754706591481,-0.01868947043066138,0.03263080276539759,-0.06149169328135673,0.018237257418789093
8,0.017313054152349183,0.06023024861774784,0.08013937282229955,0.2220221690309085,0.019286646644946948,0.06387594273141431,-0.06282631866995037,-0.16179192041316065
9,-0.009875603309583925,0.025687710260445307,-0.044642857142857095,0.007755927395396087,-0.010519824023938473,0.02556235735190257,0.03476725383327317,0.01793178286504922
10,-0.010839119918857776,0.02794427560422133,-0.25,-0.005511463844797178,-0.011715575246355248,0.02941028632795456,0.23916088008114222,0.03345573944901851
11,0.027060270602705994,0.07549501137078235,0.07412398921832875,0.10640786008283948,0.028855624506121225,0.07860054740032207,-0.04706371861562275,-0.030912848712057128
12,0.017505523004514467,0.057486662395739185,0.3434343434343434,0.4722222222222222,0.019437935925964323,0.059539916444199065,-0.32592882042982896,-0.414735559826483
13,0.027670727205611145,0.061186214026690056,0.16927083333333337,0.3709007735217412,0.030278157145681717,0.06391115445139223,-0.14160010612772223,-0.30971455949505117
14,0.007933394462457555,0.06857558481662579,0.19797979797979792,0.17556631613533144,0.01429536607075832,0.07197680505548171,-0.19004640351734037,-0.10699073131870565
15,0.0225474254742547,0.06731000641325569,0.05763239875389403,0.008743764990953723,0.0232664364324201,0.06889790890378866,-0.03508497327963933,0.05856624142230196
16,0.0030363302681771787,0.025008232825087073,0.20623501199040772,0.23515336289726535,0.010550662326585192,0.030008685782786232,-0.20319868172223055,-0.21014513007217828
17,-0.010936132983377034,0.02616449544397631,0.009708737864077666,0.020230015082956257,-0.009191410223804652,0.02734878208499214,-0.0206448708474547,0.005934480361020053
18,0.012644829905259725,0.04457846274725735,0.03341103341103335,0.03570861826053284,0.013743609749754082,0.045304178620541535,-0.02076620350577363,0.00886984448672451
19,-0.018543797866950262,0.022821268012181706,0.21503759398496236,0.28710640342061466,-0.011416011877304011,0.03332358592622511,-0.23358139185191262,-0.26428513540843296
20,-0.009653788689590104,0.010837110778285475,0.125,0.053346764473766774,-0.006568905842341266,0.013021174269691405,-0.1346537886895901,-0.0425096536954813
21,-0.003543458779422304,0.034613613610185334,-0.09999999999999998,-0.003880070546737214,-0.0015637660022687072,0.036837423333738795,0.09645654122057767,0.038493684156922545
22,0.01734285030622995,0.03543013508386336,0.0347985347985349,0.04105978162773294,0.017722911590836277,0.0346243702876855,-0.017455684492304946,-0.005629646543869576
23,0.023877551020408116,0.05830044753564967,0.1670560747663551,0.1251630431253632,0.0283065398288862,0.06233488168911891,-0.14317852374594697,-0.06686259558971352
24,0.03156824875425168,0.048363100673616655,0.041158536585365835,0.09337660716832732,0.03155678255579997,0.0495934232646382,-0.009590287831114153,-0.04501350649471067
25,0.003096750130053838,0.016937926094827638,0.046654929577464754,0.05732360455584462,0.005587144949141809,0.018640368259932955,-0.043558179447410916,-0.04038567846101698
