signal,n,median_delta,median_abs_delta,p90_abs_delta,p95_abs_delta,p99_abs_delta,fraction_abs_gt_0.001,fraction_abs_gt_0.01,fraction_abs_gt_0.05
signal_peptide,770,8.595292456388013e-06,0.0008724723011254987,0.00875253677368159,0.01443177498877047,0.037654347717761924,0.4727272727272727,0.08051948051948052,0.003896103896103896
transmembrane_domain,770,6.146728994977507e-08,0.0005699172616004996,0.006391283869743399,0.010034319758415261,0.023306120634078924,0.4051948051948052,0.05064935064935065,0.0
mitochondrial_transit_peptide,770,-8.555944076999453e-07,8.555315434929977e-05,0.0034269362688064886,0.006781455874443081,0.03329883366823185,0.17662337662337663,0.033766233766233764,0.003896103896103896
chloroplast_transit_peptide,770,7.006747182999927e-07,2.034608041869999e-05,0.0011592616327107117,0.0030836459249258454,0.01635157815180712,0.11038961038961038,0.02077922077922078,0.0012987012987012987
thylakoid_transit_peptide,770,-2.3567554310000244e-07,1.2414719094550107e-05,0.00014359450433409072,0.0002842320245690951,0.0018171511217950733,0.014285714285714285,0.0,0.0
nuclear_localisation_signal,770,-1.3169599696949159e-05,0.00039282441139232294,0.011781972646713264,0.019821521639823907,0.039462774693965905,0.39090909090909093,0.11168831168831168,0.005194805194805195
nuclear_export_signal,770,-2.2016029106e-06,0.00014652241952715027,0.01032077968120575,0.019180139899253833,0.04737140178680399,0.34415584415584416,0.10519480519480519,0.00909090909090909
peroxisomal_targeting_signal,770,-2.584652975199872e-06,7.04072881489501e-05,0.002782604843378115,0.011135675944387868,0.03694013699889145,0.17272727272727273,0.053246753246753244,0.007792207792207792
gpi_anchor,770,4.345638444649985e-06,9.081978350875073e-05,0.0018754648510365944,0.003887840360403099,0.011627448312938172,0.16493506493506493,0.011688311688311689,0.0025974025974025974
