feature_dim,config,seed,epoch,train_loss,validation_auprc
64,ft_small,11,1,1.2685114828023043,0.26726508226144907
64,ft_small,11,2,1.2130061572248285,0.2716564786265882
64,ft_small,11,3,1.1724562644958496,0.286861241216717
64,ft_small,11,4,1.1439983833919871,0.2690934018181836
64,ft_small,11,5,1.1033022186972878,0.23983857690820068
64,ft_small,11,6,1.0951380599628795,0.23893248432736308
64,ft_small,11,7,1.104894081029025,0.21340279939517567
64,ft_small,11,8,1.0590929860418492,0.23387637100770378
64,ft_small,11,9,1.0269441658800298,0.22040681646589028
64,ft_small,11,10,1.0081500736149875,0.2166873923265109
64,ft_small,11,11,1.0203010531989012,0.22619249801150842
64,ft_small,11,12,1.0147581328045239,0.19559063298017526
64,ft_small,11,13,1.0023506711829793,0.20622580069375548
64,ft_small,11,14,1.060623948140578,0.20864203055723002
64,ft_small,11,15,0.9673378640955145,0.1970164899163148
64,ft_small,11,16,0.9485132336616516,0.18720519518705478
64,ft_small,11,17,0.9406041513789783,0.18775669682250115
64,ft_small,11,18,0.9298937131058086,0.19501106748189595
64,ft_small,11,19,0.9198947781866247,0.19589675359426864
64,ft_small,11,20,0.9043084209615534,0.17722146018118745
64,ft_small,11,21,0.8807313360951163,0.1713719993852341
64,ft_small,11,22,0.8841406789692965,0.17403489052970822
64,ft_small,11,23,0.900150390104814,0.17043915972196805
64,ft_small,11,24,0.9218799672343514,0.16134807875357343
64,ft_small,11,25,0.9007583417675712,0.16092852479097688
64,ft_small,11,26,0.883759728345004,0.16130014254252062
64,ft_small,11,27,0.8464479245922782,0.1628174830985506
64,ft_small,11,28,0.8291140588847074,0.16705227167392273
64,ft_small,11,29,0.8210767009041526,0.15447994974025991
64,ft_small,11,30,0.8067950389601968,0.1553657926016429
64,ft_small,11,31,0.8026761147108945,0.14796148761448316
64,ft_small,11,32,0.7912044454704631,0.16444083218318445
64,ft_small,11,33,0.7451691486618736,0.1352699170637264
64,ft_small,22,1,1.2845011711120606,0.2772330221370461
64,ft_small,22,2,1.2327285983345726,0.28487376655978336
64,ft_small,22,3,1.1507960845123637,0.27809062914118615
64,ft_small,22,4,1.14300861900503,0.2825821403223734
64,ft_small,22,5,1.0952428037470037,0.2978967001421803
64,ft_small,22,6,1.108572127602317,0.2688369812152326
64,ft_small,22,7,1.0922441417520696,0.25913088200992573
64,ft_small,22,8,1.0693602372299542,0.2420229426660626
64,ft_small,22,9,1.0475445183840666,0.24492684642721618
64,ft_small,22,10,1.0613847889683463,0.23125341493779109
64,ft_small,22,11,1.0155706270174547,0.22344774569424947
64,ft_small,22,12,1.0696749036962336,0.21312570762348076
64,ft_small,22,13,1.0259626280177723,0.21767684338859314
64,ft_small,22,14,0.9969449400901794,0.21702754463161766
64,ft_small,22,15,0.9864037665453824,0.23562271814594932
64,ft_small,22,16,1.0083709695122458,0.18379709042309353
64,ft_small,22,17,0.9591521046378396,0.17890946238610905
64,ft_small,22,18,0.9575817086479881,0.1728800580030661
64,ft_small,22,19,0.9450911370190707,0.19195450848426368
64,ft_small,22,20,0.9298973078077489,0.1913013489954497
64,ft_small,22,21,0.9102815449237823,0.17383121866749418
64,ft_small,22,22,0.9372636908834631,0.17258418927148217
64,ft_small,22,23,0.9109531435099515,0.2003494240008955
64,ft_small,22,24,0.8995240704579787,0.1959694963023878
64,ft_small,22,25,0.8689834014935927,0.1808050445464982
64,ft_small,22,26,0.8522743208841844,0.17761382785570784
64,ft_small,22,27,0.8976299345493317,0.17656876028399734
64,ft_small,22,28,0.8471265586939725,0.175909641279411
64,ft_small,22,29,0.8522785365581512,0.18094218130018455
64,ft_small,22,30,0.8566956753080541,0.1708608102245284
64,ft_small,22,31,0.8232227509671991,0.1795305807537622
64,ft_small,22,32,0.7924185834147713,0.1852119184526803
