scope,feature_dim,config,n,positives,auroc,auprc,brier
validation_seed_ensemble,64,ft_medium,221,24,0.6825296108291032,0.27709705884446467,0.15955060729413326
test_seed_ensemble,64,ft_medium,210,23,0.5819576842594746,0.19427175139255246,0.18901393796861876
validation_seed_ensemble,70,ft_medium,221,24,0.6133671742808798,0.26219725681883715,0.14701571189896687
test_seed_ensemble,70,ft_medium,210,23,0.5405719600093002,0.21299708776697024,0.1549445530129654
